id,3e49de0-12af-012e-4f3a-12313b0348f8
heating_systems_0_installer_registration_number,
heating_systems_0_commissioning_date,
heating_systems_0_inspector,
heating_systems_0_inspector_engineers_name,
heating_systems_0_inspector_registration_number,
heating_systems_0_inspection_date,
heating_systems_0_created_at,2011/11/15 14:49:38 +0000
heating_systems_0_updated_at,2011/11/15 14:49:38 +0000
heating_systems_0_efficiency,78.9
hot_water_systems_0_dhw_type,From main
hot_water_systems_0_fuel,Mains gas
hot_water_systems_0_fuel_other,
hot_water_systems_0_immersion,
hot_water_systems_0_cylinder_capacity,No cylinder
hot_water_systems_0_cylinder_capacity_other,
hot_water_systems_0_cylinder_insulation_type,
hot_water_systems_0_cylinder_insulation_type_other,
hot_water_systems_0_cylinder_insulation_thickness,
hot_water_systems_0_cylinder_insulation_thickness_other,
hot_water_systems_0_cylinder_thermostat,No cylinder
hot_water_systems_0_controls_same_for_all_zones,TRUE
hot_water_systems_0_created_at,2011/11/15 14:51:35 +0000
hot_water_systems_0_updated_at,2011/11/15 14:51:35 +0000
low_energy_lights_0_light_type,Other (please specify)
low_energy_lights_0_light_type_other,10 L.E.L
low_energy_lights_0_bed_index,
low_energy_lights_0_created_at,2011/11/15 14:54:04 +0000
low_energy_lights_0_updated_at,2011/11/15 14:54:04 +0000
low_energy_lights_0_proportion,34.0
timestamp,2011-11-17 09:40:48+0000
